Company Name,Title,Location,Stipend,Work From Home
Ep.Log Media,Business Development (Sales),Mumbai,"₹ 7,000-12,000 /month",No
Fried & Tasted Private Limited,Community Management,Gurgaon,"₹ 8,000 /month",No
Hamari Pahchan NGO,Social Entrepreneurship,Work From Home,Unpaid,Yes
Nestlé,Nutrition Track,Gurgaon,"₹ 10,000 /month",No
Nestlé,"Support Functions Track (HR, Legal, Finance, Sustainability, Corporate Affairs, Business services)",Moga,"₹ 5,000-10,000 /month",No
Nestlé,Sales Track,Bangalore,"₹ 12,000-15,000 /month",No
Upakarna,Customer Relations Management,Ponda,"₹ 5,000 /month +  Incentives",No
Nestlé,"Technical Functions Track (Quality, Food safety, Production, Supply chain, Logistics, Engineering, Packaging)",Samalkha,"₹ 25,000-35,000 /month",No
Mudraksh And McShaw Advisory,Algoinsti Operations,Bicholim,"₹ 12,000-15,000 /month",No
Factacy.Ai,Social Media Architect,Pantnagar,"₹ 5,000 /month",No
OtakuKart,Email Outreach,Sanand,"₹ 12,000 /month +  Incentives",No
Global Groupware Solutions Limited,Functional Consulting - HR SaaS,Tahliwal,"₹ 15,000 /month",No
Factacy.Ai,Machine Learning,Nanjangud,"₹ 5,000 /month",No
Digital Heroes,Digital Marketing,Mumbai,"₹ 5,000-7,000 /month",No
VivaHIT,Sales,Gurgaon,"₹ 8,000 /month",No
Antino Labs Private Limited,Motion Graphics,Moga,"₹ 7,000 /month",No
Blackcoffer,Digital Marketing,Bangalore,"₹ 8,000-10,000 /month",No
Blackcoffer,WordPress Development,Ponda,"₹ 5,000-8,000 /month",No
Chirpn IT Solutions,Content Writing,Samalkha,"₹ 10,000-15,000 /month",No
Renewcell Cosmedica LLP,Customer Support,Bicholim,"₹ 8,000-15,000 /month",No
Times Internet,Catalog Management,Pantnagar,"₹ 5,000 /month",No
W3Dev,Software Sales And Business Development,Sanand,"₹ 10,000-15,000 /month",No
Traya Health,Anchoring And Media Production,Tahliwal,"₹ 2,000 /month +  Incentives",No
Quantum IT Innovation,iOS App Development,Nanjangud,"₹ 3,000 /month",No
Experiences.digital,Product & Industrial Design,Noida,"₹ 10,000 /month",No
Traya Health,Content Writing (Marketing),Gurgaon,"₹ 12,000 /month +  Incentives",No
Sarthak Prayas,Social Media Marketing,Work From Home,"₹ 5,000-10,000 /month",Yes
Skillarena Education Technologies,Video Making/Editing,Work From Home,"₹ 5,000 /month",Yes
Zipy AI,Marketing/Sales,Gurgaon,"₹ 5,000 /month",No
WizKlub Learning,B2B,Lucknow,"₹ 5,000-10,000 /month",No
Partibha Ratan Bhumi Private Limited,Sales And Business Development,Bangalore,"₹ 6,000-8,000 /month",No
Digital Heroes,Social Media Marketing,Delhi,"₹ 5,000 /month",No
Digital Heroes,Operations,Gurgaon,"₹ 5,000 /month",No
Experiences.digital,Sales,Sohna,"₹ 7,000 /month",No
Digihandler,Content Writing,Work From Home,"₹ 10,000 /month",Yes
Digital Heroes,Graphic Design,Work From Home,"₹ 8,000 /month",Yes
Digital Heroes,Human Resources (HR),Work From Home,"₹ 10,000 /month",Yes
Locgfx Private Limited,Backend Development,Mumbai,"₹ 2,000 /month +  Incentives",No
SmartBrew Solutions Private Limited,Business Development (Sales),Gurgaon,"₹ 5,000-15,000 /month",No
Pepmedia Services,Social Media Marketing,Noida,"₹ 7,000 /month",No
RMTS Global,Ad Operations (AdOps),Bangalore,"₹ 12,000 /month",No
Careers360,Content Writing,Hyderabad,"₹ 15,000 /month",No
Blackcoffer,Content Marketing,Work From Home,"₹ 5,000 /month",Yes
Nephrun,Project Assistant (Management/Logistics),Nagpur,"₹ 10,000-15,000 /month",No
PatilKaki,Brand Partnerships,Navi Mumbai,"₹ 10,000 /month +  Incentives",No
Liamliang Travellers Private Limited,Content Writing,Greater Noida,"₹ 8,000 /month",No
Pinnacle Management & Utility Services,Event Management,Noida,"₹ 3,000-6,000 /month",No
Rentkar-Switch To Share,Business Development (Sales),Thane,"₹ 12,000-14,000 /month",No
PatilKaki,Human Resources (HR),Mumbai,"₹ 10,000 /month +  Incentives",No
Filltered.com,Graphic Design,Mumbai,"₹ 7,000 /month +  Incentives",No
Chandrashekhar J Mehta and Company,Accounting & Auditing,Navi Mumbai,"₹ 6,000 /month",No
IG Drones,Civil Engineering,Delhi,"₹ 10,000 /month",No
IG Drones,PCB Design,Ghaziabad,"₹ 8,500 /month",No
India FinTech Forum,Event Management,Noida,"₹ 5,000-8,000 /month",No
IG Drones,Technical Project Coordination,Thane,"₹ 10,000-15,000 /month",No
GMAT30 (KJ Online Private Limited),"Video Making/Editing, AI Tools & Quantitative Aptitude",Navi Mumbai,"₹ 14,000 /month",No
Crossing Hurdles,Community Engagement (Marketing),Bhubaneswar,"₹ 20,000-30,000 /month",No
Metrix Food And Pharma,Supply Chain & Logistics Operations,Bhubaneswar,"₹ 5,000-10,000 /month",No
Combat Robotics India Private Limited,Robot Operating System,Thane,"₹ 15,000 /month",No
Internshala,Visual Design,Mumbai,"₹ 18,000 /month",No
Worksupp,General Management,Bhubaneswar,"₹ 15,000 /month",No
IIDE Education Private Limited,Human Resources (HR),Gurgaon,"₹ 5,000 /month",No
